,Content
568,"Research such as the Diabetes Prevention Program shows that you can do a lot to reduce your chances of developing type 2 diabetes. Here are some things you can change to lower your risk:
"
569,"
Ask your health care professional about what other changes you can make to prevent or delay type 2 diabetes.
"
570,"Most often, your best chance for preventing type 2 diabetes is to make lifestyle changes that work for you long term. Get started with Your Game Plan to Prevent Type 2 Diabetes.
"
571,"Prediabetes is when your blood glucose, also called blood sugar, levels are higher than normal, but not high enough to be called diabetes. Having prediabetes is serious because it raises your chance of developing type 2 diabetes. Many of the same factors that raise your chance of developing type 2 diabetes put you at risk for prediabetes.
"
572,"Other names for prediabetes include impaired fasting glucose or impaired glucose tolerance. Some people call prediabetes “borderline diabetes.”
"
573,"About 1 in 3 Americans has prediabetes, according to recent diabetes statistics from the Centers for Disease Control and Prevention. You won’t know if you have prediabetes unless you are tested. "
574,"
If you have prediabetes, you can lower your chance of developing type 2 diabetes. Lose weight if you need to, become more physically active, and follow a reduced-calorie eating plan.
"
575,"Get started with Your Game Plan to Prevent Type 2 Diabetes. For more support, you can find a lifestyle change program near you through the National Diabetes Prevention Program.
"
577,"Gestational diabetes is a type of diabetes that develops during pregnancy. Most of the time, gestational diabetes goes away after your baby is born. Even if your gestational diabetes goes away, you still have a greater chance of developing type 2 diabetes within 5 to 10 years. Your child may also be more likely to become obese and develop type 2 diabetes later in life. Making healthy choices helps the whole family and may protect your child from becoming obese or developing diabetes.
"
578,"Here are steps you should take for yourself and your child if you had gestational diabetes:
"
579,[1] Diabetes Prevention Program Research Group. Long-term effects of lifestyle intervention or metformin on diabetes development and microvascular complications over 15-year follow-up: the Diabetes Prevention Program Outcomes Study. The Lancet Diabetes & Endocrinology. 2015;3(11):866‒875. You can find more information about this study at the Diabetes Prevention Program Outcomes Study website.
583,"

Skip to main content




COVID-19 information and updates


Public health information from CDC
Grant and research information from NIH
NIDDK COVID-19 Research Response








U.S. Department of Health and Human Services











Search
Menu



Search for Information from NIDDK




Entire Site
Research & Funding
Health Information
News
About NIDDK



Search








Home







Research & Funding
Expand Research & Funding




Current Funding Opportunities
Research Programs & Contacts
Human Subjects Research
Funding Process


Research Training & Career Development
Funded Grants & Grant History
Research Resources


Research at NIDDK
Technology Advancement & Transfer
Meetings & Workshops







Health Information
Expand Health Information




Health Topics
Diabetes
Digestive Diseases
Kidney Disease
Weight Management
Liver Disease
Urologic Diseases
Endocrine Diseases
Diet & Nutrition
Blood Diseases
Diagnostic Tests


La información de la salud en español
Health Statistics
Healthy Moments Radio Broadcast
Clinical Trials


For Health Professionals
Diabetes Discoveries & Practice Blog
Community Health & Outreach







News
Expand News




News Archive
For Reporters


Meetings & Workshops
Media Library


Follow Us







About NIDDK
Expand About NIDDK




Meet the Director
Offices & Divisions
Staff Directory
Budget & Legislative Information


Advisory & Coordinating Committees
Strategic Plans & Reports
Research Areas
FAQs


Jobs at NIDDK
Visit Us
Contact Us

















Home



Health Information



Diabetes



Diabetes Overview




Preventing Type 2 Diabetes




Related Topics


English


English
Español





Diabetes Overview


What is Diabetes?


Type 1 Diabetes


Type 2 Diabetes


Insulin Resistance & Prediabetes


Gestational Diabetes


Monogenic Diabetes




Symptoms & Causes


Risk Factors for Type 2 Diabetes


Diabetes Risk Test




Preventing Type 2 Diabetes


Your Game Plan to Prevent Type 2 Diabetes


Choose More than 50 Ways to Prevent Type 2 Diabetes


We Have the Power to Prevent Diabetes: Tips for American Indians & Alaska Natives


Two Reasons I Find Time to Prevent Diabetes: My Future & Theirs (Tips for Asian Americans & Pacific Islanders)




Diabetes Tests & Diagnosis


Managing Diabetes


Continuous Glucose Monitoring


4 Steps to Manage Your Diabetes for Life


Take Care of Your Diabetes During Sick Days & Special Times


Know Your Blood Sugar Numbers




Insulin, Medicines, & Other Diabetes Treatments


Questions to Ask about Your Diabetes Medicines


Pancreatic Islet Transplantation




Diabetes Diet, Eating, & Physical Activity


Preventing Diabetes Problems


Diabetes, Heart Disease, & Stroke


Low Blood Glucose (Hypoglycemia)


Diabetic Neuropathy


Diabetic Kidney Disease


Diabetes & Foot Problems


Diabetic Eye Disease


Diabetes, Gum Disease, & Other Dental Problems


Diabetes, Sexual, & Bladder Problems




Clinical Trials




Preventing Type 2 Diabetes

Perhaps you have learned that you have a high chance of developing type 2 diabetes, the most common type of diabetes. You might be overweight or have a parent, brother, or sister with type 2 diabetes. Maybe you had gestational diabetes, which is diabetes that develops during pregnancy. These are just a few examples of factors that can raise your chances of developing type 2 diabetes.

Diabetes can cause serious health problems, such as heart disease, stroke, and eye and foot problems.  Prediabetes also can cause health problems. The good news is that type 2 diabetes can be delayed or even prevented. The longer you have diabetes, the more likely you are to develop health problems, so delaying diabetes by even a few years will benefit your health. You can help prevent or delay type 2 diabetes by losing a modest amount of weight by following a reduced-calorie eating plan and being physically active most days of the week. Ask your doctor if you should take the diabetes drug metformin to help prevent or delay type 2 diabetes.1

How can I lower my chances of developing type 2 diabetes?
Research such as the Diabetes Prevention Program shows that you can do a lot to reduce your chances of developing type 2 diabetes. Here are some things you can change to lower your risk:


Lose weight and keep it off. You may be able to prevent or delay diabetes by losing 5 to 7 percent of your starting weight.1 For instance, if you weigh 200 pounds, your goal would be to lose about 10 to 14 pounds.
    
Move more. Get at least 30 minutes of physical activity 5 days a week. If you have not been active, talk with your health care professional about which activities are best. Start slowly to build up to your goal.
    
Eat healthy foods most of the time. Eat smaller portions to reduce the amount of calories you eat each day and help you lose weight. Choosing foods with less fat is another way to reduce calories. Drink water instead of sweetened beverages.
    


Ask your health care professional about what other changes you can make to prevent or delay type 2 diabetes.

Most often, your best chance for preventing type 2 diabetes is to make lifestyle changes that work for you long term. Get started with Your Game Plan to Prevent Type 2 Diabetes.



 Losing weight through healthy eating and regular physical activity can help you prevent type 2 diabetes.

What should I do if my health care professional told me I have prediabetes?
Prediabetes is when your blood glucose, also called blood sugar, levels are higher than normal, but not high enough to be called diabetes. Having prediabetes is serious because it raises your chance of developing type 2 diabetes. Many of the same factors that raise your chance of developing type 2 diabetes put you at risk for prediabetes.

Other names for prediabetes include impaired fasting glucose or impaired glucose tolerance. Some people call prediabetes “borderline diabetes.”

About 1 in 3 Americans has prediabetes, according to recent diabetes statistics from the Centers for Disease Control and Prevention. You won’t know if you have prediabetes unless you are tested. 

If you have prediabetes, you can lower your chance of developing type 2 diabetes. Lose weight if you need to, become more physically active, and follow a reduced-calorie eating plan.

Get started with Your Game Plan to Prevent Type 2 Diabetes. For more support, you can find a lifestyle change program near you through the National Diabetes Prevention Program.



Being physically active is one way to help prevent prediabetes from progressing to type 2 diabetes.


If I had gestational diabetes when I was pregnant, how can I lower my chances of developing type 2 diabetes?



Gestational diabetes is a type of diabetes that develops during pregnancy. Most of the time, gestational diabetes goes away after your baby is born. Even if your gestational diabetes goes away, you still have a greater chance of developing type 2 diabetes within 5 to 10 years. Your child may also be more likely to become obese and develop type 2 diabetes later in life. Making healthy choices helps the whole family and may protect your child from becoming obese or developing diabetes.



Being physically active together is a great way to lower your own and your child’s chance of developing type 2 diabetes.

Here are steps you should take for yourself and your child if you had gestational diabetes:


Get tested for diabetes 6 to 12 weeks after your baby is born. If your blood glucose is still high, you may have type 2 diabetes. If your blood glucose is normal, you should get tested every 3 years to see if you have developed type 2 diabetes. 

    Be more active and make healthy food choices to get back to a healthy weight. 

    Breastfeed your baby. Breastfeeding gives your baby the right balance of nutrients and helps you burn calories.
    
Ask your doctor if you should take the diabetes drug metformin to help prevent type 2 diabetes.1

References

[1] Diabetes Prevention Program Research Group. Long-term effects of lifestyle intervention or metformin on diabetes development and microvascular complications over 15-year follow-up: the Diabetes Prevention Program Outcomes Study. The Lancet Diabetes & Endocrinology. 2015;3(11):866‒875. You can find more information about this study at the Diabetes Prevention Program Outcomes Study website.

 Last Reviewed December 2016

Share











Previous:
                Risk Factors for Type 2 Diabetes
            



Next:
                Diabetes Tests & Diagnosis
            




        This content is provided as a service of the National Institute of Diabetes and Digestive and Kidney Diseases
(NIDDK), part of the National Institutes of Health. The NIDDK translates and disseminates research findings to increase knowledge and understanding about health and disease among patients, health professionals, and the public. Content produced by the NIDDK is carefully reviewed by NIDDK scientists and other experts.


























Contact Us








Hours: 8:30 a.m. to 5 p.m. ET, Monday - Friday


Email: healthinfo@niddk.nih.gov


Phone: +1-800-860-8747




TTY: +1-866-569-1162






Chat












































Live Chat Available12 - 5 p.m. ETMonday - Friday



Follow Us
Twitter
Facebook
YouTube
Instagram




NIH… Turning Discovery Into Health ®


Research & Funding



Current Funding Opportunities


Research Programs & Contacts


Human Subjects Research


Funding Process


Research Training & Career Development


Funded Grants & Grant History


Research Resources


Research at NIDDK


Technology Advancement & Transfer


Meetings & Workshops





Health Information



Diabetes


Digestive Diseases


Kidney Disease


Weight Management


Liver Disease


Urologic Diseases


Endocrine Diseases


Diet & Nutrition


Blood Diseases


Diagnostic Tests


La información de la salud en español


Health Statistics


Healthy Moments Radio Broadcast


Clinical Trials


For Health Professionals


Diabetes Discoveries & Practice Blog


Community Health & Outreach





News



News Archive


For Reporters


Meetings & Workshops


Media Library


Follow Us


Get Email Updates





About NIDDK



Meet the Director


Offices & Divisions


Staff Directory


Budget & Legislative Information


Advisory & Coordinating Committees


Strategic Plans & Reports


Research Areas


FAQs


Jobs at NIDDK


Visit Us


Contact Us








Privacy Policy
Freedom of Information Act
Accessibility
Disclaimers
Copyright
Site Map
For Staff Only
Jobs at NIDDK






U.S. Department of Health and Human Services




National Institutes of Health



USA.gov








"
676,"




Home



Health Information



Diabetes



Diabetes Overview




Preventing Type 2 Diabetes




Related Topics


English


English
Español





Diabetes Overview


What is Diabetes?


Type 1 Diabetes


Type 2 Diabetes


Insulin Resistance & Prediabetes


Gestational Diabetes


Monogenic Diabetes




Symptoms & Causes


Risk Factors for Type 2 Diabetes


Diabetes Risk Test




Preventing Type 2 Diabetes


Your Game Plan to Prevent Type 2 Diabetes


Choose More than 50 Ways to Prevent Type 2 Diabetes


We Have the Power to Prevent Diabetes: Tips for American Indians & Alaska Natives


Two Reasons I Find Time to Prevent Diabetes: My Future & Theirs (Tips for Asian Americans & Pacific Islanders)




Diabetes Tests & Diagnosis


Managing Diabetes


Continuous Glucose Monitoring


4 Steps to Manage Your Diabetes for Life


Take Care of Your Diabetes During Sick Days & Special Times


Know Your Blood Sugar Numbers




Insulin, Medicines, & Other Diabetes Treatments


Questions to Ask about Your Diabetes Medicines


Pancreatic Islet Transplantation




Diabetes Diet, Eating, & Physical Activity


Preventing Diabetes Problems


Diabetes, Heart Disease, & Stroke


Low Blood Glucose (Hypoglycemia)


Diabetic Neuropathy


Diabetic Kidney Disease


Diabetes & Foot Problems


Diabetic Eye Disease


Diabetes, Gum Disease, & Other Dental Problems


Diabetes, Sexual, & Bladder Problems




Clinical Trials




Preventing Type 2 Diabetes

Perhaps you have learned that you have a high chance of developing type 2 diabetes, the most common type of diabetes. You might be overweight or have a parent, brother, or sister with type 2 diabetes. Maybe you had gestational diabetes, which is diabetes that develops during pregnancy. These are just a few examples of factors that can raise your chances of developing type 2 diabetes.

Diabetes can cause serious health problems, such as heart disease, stroke, and eye and foot problems.  Prediabetes also can cause health problems. The good news is that type 2 diabetes can be delayed or even prevented. The longer you have diabetes, the more likely you are to develop health problems, so delaying diabetes by even a few years will benefit your health. You can help prevent or delay type 2 diabetes by losing a modest amount of weight by following a reduced-calorie eating plan and being physically active most days of the week. Ask your doctor if you should take the diabetes drug metformin to help prevent or delay type 2 diabetes.1

How can I lower my chances of developing type 2 diabetes?
Research such as the Diabetes Prevention Program shows that you can do a lot to reduce your chances of developing type 2 diabetes. Here are some things you can change to lower your risk:


Lose weight and keep it off. You may be able to prevent or delay diabetes by losing 5 to 7 percent of your starting weight.1 For instance, if you weigh 200 pounds, your goal would be to lose about 10 to 14 pounds.
    
Move more. Get at least 30 minutes of physical activity 5 days a week. If you have not been active, talk with your health care professional about which activities are best. Start slowly to build up to your goal.
    
Eat healthy foods most of the time. Eat smaller portions to reduce the amount of calories you eat each day and help you lose weight. Choosing foods with less fat is another way to reduce calories. Drink water instead of sweetened beverages.
    


Ask your health care professional about what other changes you can make to prevent or delay type 2 diabetes.

Most often, your best chance for preventing type 2 diabetes is to make lifestyle changes that work for you long term. Get started with Your Game Plan to Prevent Type 2 Diabetes.



 Losing weight through healthy eating and regular physical activity can help you prevent type 2 diabetes.

What should I do if my health care professional told me I have prediabetes?
Prediabetes is when your blood glucose, also called blood sugar, levels are higher than normal, but not high enough to be called diabetes. Having prediabetes is serious because it raises your chance of developing type 2 diabetes. Many of the same factors that raise your chance of developing type 2 diabetes put you at risk for prediabetes.

Other names for prediabetes include impaired fasting glucose or impaired glucose tolerance. Some people call prediabetes “borderline diabetes.”

About 1 in 3 Americans has prediabetes, according to recent diabetes statistics from the Centers for Disease Control and Prevention. You won’t know if you have prediabetes unless you are tested. 

If you have prediabetes, you can lower your chance of developing type 2 diabetes. Lose weight if you need to, become more physically active, and follow a reduced-calorie eating plan.

Get started with Your Game Plan to Prevent Type 2 Diabetes. For more support, you can find a lifestyle change program near you through the National Diabetes Prevention Program.



Being physically active is one way to help prevent prediabetes from progressing to type 2 diabetes.


If I had gestational diabetes when I was pregnant, how can I lower my chances of developing type 2 diabetes?



Gestational diabetes is a type of diabetes that develops during pregnancy. Most of the time, gestational diabetes goes away after your baby is born. Even if your gestational diabetes goes away, you still have a greater chance of developing type 2 diabetes within 5 to 10 years. Your child may also be more likely to become obese and develop type 2 diabetes later in life. Making healthy choices helps the whole family and may protect your child from becoming obese or developing diabetes.



Being physically active together is a great way to lower your own and your child’s chance of developing type 2 diabetes.

Here are steps you should take for yourself and your child if you had gestational diabetes:


Get tested for diabetes 6 to 12 weeks after your baby is born. If your blood glucose is still high, you may have type 2 diabetes. If your blood glucose is normal, you should get tested every 3 years to see if you have developed type 2 diabetes. 

    Be more active and make healthy food choices to get back to a healthy weight. 

    Breastfeed your baby. Breastfeeding gives your baby the right balance of nutrients and helps you burn calories.
    
Ask your doctor if you should take the diabetes drug metformin to help prevent type 2 diabetes.1

References

[1] Diabetes Prevention Program Research Group. Long-term effects of lifestyle intervention or metformin on diabetes development and microvascular complications over 15-year follow-up: the Diabetes Prevention Program Outcomes Study. The Lancet Diabetes & Endocrinology. 2015;3(11):866‒875. You can find more information about this study at the Diabetes Prevention Program Outcomes Study website.

 Last Reviewed December 2016

Share











Previous:
                Risk Factors for Type 2 Diabetes
            



Next:
                Diabetes Tests & Diagnosis
            




        This content is provided as a service of the National Institute of Diabetes and Digestive and Kidney Diseases
(NIDDK), part of the National Institutes of Health. The NIDDK translates and disseminates research findings to increase knowledge and understanding about health and disease among patients, health professionals, and the public. Content produced by the NIDDK is carefully reviewed by NIDDK scientists and other experts.








"
677,"



Home



Health Information



Diabetes



Diabetes Overview




Preventing Type 2 Diabetes




Related Topics


English


English
Español


"
678,"


Home



Health Information



Diabetes



Diabetes Overview




Preventing Type 2 Diabetes



"
680,"

Diabetes Overview


What is Diabetes?


Type 1 Diabetes


Type 2 Diabetes


Insulin Resistance & Prediabetes


Gestational Diabetes


Monogenic Diabetes




Symptoms & Causes


Risk Factors for Type 2 Diabetes


Diabetes Risk Test




Preventing Type 2 Diabetes


Your Game Plan to Prevent Type 2 Diabetes


Choose More than 50 Ways to Prevent Type 2 Diabetes


We Have the Power to Prevent Diabetes: Tips for American Indians & Alaska Natives


Two Reasons I Find Time to Prevent Diabetes: My Future & Theirs (Tips for Asian Americans & Pacific Islanders)




Diabetes Tests & Diagnosis


Managing Diabetes


Continuous Glucose Monitoring


4 Steps to Manage Your Diabetes for Life


Take Care of Your Diabetes During Sick Days & Special Times


Know Your Blood Sugar Numbers




Insulin, Medicines, & Other Diabetes Treatments


Questions to Ask about Your Diabetes Medicines


Pancreatic Islet Transplantation




Diabetes Diet, Eating, & Physical Activity


Preventing Diabetes Problems


Diabetes, Heart Disease, & Stroke


Low Blood Glucose (Hypoglycemia)


Diabetic Neuropathy


Diabetic Kidney Disease


Diabetes & Foot Problems


Diabetic Eye Disease


Diabetes, Gum Disease, & Other Dental Problems


Diabetes, Sexual, & Bladder Problems




Clinical Trials




Preventing Type 2 Diabetes

Perhaps you have learned that you have a high chance of developing type 2 diabetes, the most common type of diabetes. You might be overweight or have a parent, brother, or sister with type 2 diabetes. Maybe you had gestational diabetes, which is diabetes that develops during pregnancy. These are just a few examples of factors that can raise your chances of developing type 2 diabetes.

Diabetes can cause serious health problems, such as heart disease, stroke, and eye and foot problems.  Prediabetes also can cause health problems. The good news is that type 2 diabetes can be delayed or even prevented. The longer you have diabetes, the more likely you are to develop health problems, so delaying diabetes by even a few years will benefit your health. You can help prevent or delay type 2 diabetes by losing a modest amount of weight by following a reduced-calorie eating plan and being physically active most days of the week. Ask your doctor if you should take the diabetes drug metformin to help prevent or delay type 2 diabetes.1

How can I lower my chances of developing type 2 diabetes?
Research such as the Diabetes Prevention Program shows that you can do a lot to reduce your chances of developing type 2 diabetes. Here are some things you can change to lower your risk:


Lose weight and keep it off. You may be able to prevent or delay diabetes by losing 5 to 7 percent of your starting weight.1 For instance, if you weigh 200 pounds, your goal would be to lose about 10 to 14 pounds.
    
Move more. Get at least 30 minutes of physical activity 5 days a week. If you have not been active, talk with your health care professional about which activities are best. Start slowly to build up to your goal.
    
Eat healthy foods most of the time. Eat smaller portions to reduce the amount of calories you eat each day and help you lose weight. Choosing foods with less fat is another way to reduce calories. Drink water instead of sweetened beverages.
    


Ask your health care professional about what other changes you can make to prevent or delay type 2 diabetes.

Most often, your best chance for preventing type 2 diabetes is to make lifestyle changes that work for you long term. Get started with Your Game Plan to Prevent Type 2 Diabetes.



 Losing weight through healthy eating and regular physical activity can help you prevent type 2 diabetes.

What should I do if my health care professional told me I have prediabetes?
Prediabetes is when your blood glucose, also called blood sugar, levels are higher than normal, but not high enough to be called diabetes. Having prediabetes is serious because it raises your chance of developing type 2 diabetes. Many of the same factors that raise your chance of developing type 2 diabetes put you at risk for prediabetes.

Other names for prediabetes include impaired fasting glucose or impaired glucose tolerance. Some people call prediabetes “borderline diabetes.”

About 1 in 3 Americans has prediabetes, according to recent diabetes statistics from the Centers for Disease Control and Prevention. You won’t know if you have prediabetes unless you are tested. 

If you have prediabetes, you can lower your chance of developing type 2 diabetes. Lose weight if you need to, become more physically active, and follow a reduced-calorie eating plan.

Get started with Your Game Plan to Prevent Type 2 Diabetes. For more support, you can find a lifestyle change program near you through the National Diabetes Prevention Program.



Being physically active is one way to help prevent prediabetes from progressing to type 2 diabetes.


If I had gestational diabetes when I was pregnant, how can I lower my chances of developing type 2 diabetes?



Gestational diabetes is a type of diabetes that develops during pregnancy. Most of the time, gestational diabetes goes away after your baby is born. Even if your gestational diabetes goes away, you still have a greater chance of developing type 2 diabetes within 5 to 10 years. Your child may also be more likely to become obese and develop type 2 diabetes later in life. Making healthy choices helps the whole family and may protect your child from becoming obese or developing diabetes.



Being physically active together is a great way to lower your own and your child’s chance of developing type 2 diabetes.

Here are steps you should take for yourself and your child if you had gestational diabetes:


Get tested for diabetes 6 to 12 weeks after your baby is born. If your blood glucose is still high, you may have type 2 diabetes. If your blood glucose is normal, you should get tested every 3 years to see if you have developed type 2 diabetes. 

    Be more active and make healthy food choices to get back to a healthy weight. 

    Breastfeed your baby. Breastfeeding gives your baby the right balance of nutrients and helps you burn calories.
    
Ask your doctor if you should take the diabetes drug metformin to help prevent type 2 diabetes.1

References

[1] Diabetes Prevention Program Research Group. Long-term effects of lifestyle intervention or metformin on diabetes development and microvascular complications over 15-year follow-up: the Diabetes Prevention Program Outcomes Study. The Lancet Diabetes & Endocrinology. 2015;3(11):866‒875. You can find more information about this study at the Diabetes Prevention Program Outcomes Study website.

 Last Reviewed December 2016

Share











Previous:
                Risk Factors for Type 2 Diabetes
            



Next:
                Diabetes Tests & Diagnosis
            




        This content is provided as a service of the National Institute of Diabetes and Digestive and Kidney Diseases
(NIDDK), part of the National Institutes of Health. The NIDDK translates and disseminates research findings to increase knowledge and understanding about health and disease among patients, health professionals, and the public. Content produced by the NIDDK is carefully reviewed by NIDDK scientists and other experts.







"
681,"
Perhaps you have learned that you have a high chance of developing type 2 diabetes, the most common type of diabetes. You might be overweight or have a parent, brother, or sister with type 2 diabetes. Maybe you had gestational diabetes, which is diabetes that develops during pregnancy. These are just a few examples of factors that can raise your chances of developing type 2 diabetes.

Diabetes can cause serious health problems, such as heart disease, stroke, and eye and foot problems.  Prediabetes also can cause health problems. The good news is that type 2 diabetes can be delayed or even prevented. The longer you have diabetes, the more likely you are to develop health problems, so delaying diabetes by even a few years will benefit your health. You can help prevent or delay type 2 diabetes by losing a modest amount of weight by following a reduced-calorie eating plan and being physically active most days of the week. Ask your doctor if you should take the diabetes drug metformin to help prevent or delay type 2 diabetes.1

How can I lower my chances of developing type 2 diabetes?
Research such as the Diabetes Prevention Program shows that you can do a lot to reduce your chances of developing type 2 diabetes. Here are some things you can change to lower your risk:


Lose weight and keep it off. You may be able to prevent or delay diabetes by losing 5 to 7 percent of your starting weight.1 For instance, if you weigh 200 pounds, your goal would be to lose about 10 to 14 pounds.
    
Move more. Get at least 30 minutes of physical activity 5 days a week. If you have not been active, talk with your health care professional about which activities are best. Start slowly to build up to your goal.
    
Eat healthy foods most of the time. Eat smaller portions to reduce the amount of calories you eat each day and help you lose weight. Choosing foods with less fat is another way to reduce calories. Drink water instead of sweetened beverages.
    


Ask your health care professional about what other changes you can make to prevent or delay type 2 diabetes.

Most often, your best chance for preventing type 2 diabetes is to make lifestyle changes that work for you long term. Get started with Your Game Plan to Prevent Type 2 Diabetes.



 Losing weight through healthy eating and regular physical activity can help you prevent type 2 diabetes.

What should I do if my health care professional told me I have prediabetes?
Prediabetes is when your blood glucose, also called blood sugar, levels are higher than normal, but not high enough to be called diabetes. Having prediabetes is serious because it raises your chance of developing type 2 diabetes. Many of the same factors that raise your chance of developing type 2 diabetes put you at risk for prediabetes.

Other names for prediabetes include impaired fasting glucose or impaired glucose tolerance. Some people call prediabetes “borderline diabetes.”

About 1 in 3 Americans has prediabetes, according to recent diabetes statistics from the Centers for Disease Control and Prevention. You won’t know if you have prediabetes unless you are tested. 

If you have prediabetes, you can lower your chance of developing type 2 diabetes. Lose weight if you need to, become more physically active, and follow a reduced-calorie eating plan.

Get started with Your Game Plan to Prevent Type 2 Diabetes. For more support, you can find a lifestyle change program near you through the National Diabetes Prevention Program.



Being physically active is one way to help prevent prediabetes from progressing to type 2 diabetes.


If I had gestational diabetes when I was pregnant, how can I lower my chances of developing type 2 diabetes?



Gestational diabetes is a type of diabetes that develops during pregnancy. Most of the time, gestational diabetes goes away after your baby is born. Even if your gestational diabetes goes away, you still have a greater chance of developing type 2 diabetes within 5 to 10 years. Your child may also be more likely to become obese and develop type 2 diabetes later in life. Making healthy choices helps the whole family and may protect your child from becoming obese or developing diabetes.



Being physically active together is a great way to lower your own and your child’s chance of developing type 2 diabetes.

Here are steps you should take for yourself and your child if you had gestational diabetes:


Get tested for diabetes 6 to 12 weeks after your baby is born. If your blood glucose is still high, you may have type 2 diabetes. If your blood glucose is normal, you should get tested every 3 years to see if you have developed type 2 diabetes. 

    Be more active and make healthy food choices to get back to a healthy weight. 

    Breastfeed your baby. Breastfeeding gives your baby the right balance of nutrients and helps you burn calories.
    
Ask your doctor if you should take the diabetes drug metformin to help prevent type 2 diabetes.1

References

[1] Diabetes Prevention Program Research Group. Long-term effects of lifestyle intervention or metformin on diabetes development and microvascular complications over 15-year follow-up: the Diabetes Prevention Program Outcomes Study. The Lancet Diabetes & Endocrinology. 2015;3(11):866‒875. You can find more information about this study at the Diabetes Prevention Program Outcomes Study website.

"
684,"


Previous:
                Risk Factors for Type 2 Diabetes
            



Next:
                Diabetes Tests & Diagnosis
            

"
685,"
Previous:
                Risk Factors for Type 2 Diabetes
            "
686,"
Next:
                Diabetes Tests & Diagnosis
            "
701,"Your health care professional can diagnose diabetes, prediabetes, and gestational diabetes through blood tests. The blood tests show if your blood glucose, also called blood sugar, is too high.
"
702,"Do not try to diagnose yourself if you think you might have diabetes. Testing equipment that you can buy over the counter, such as a blood glucose meter, cannot diagnose diabetes.
"
703,"Anyone who has symptoms of diabetes should be tested for the disease. Some people will not have any symptoms but may have risk factors for diabetes and need to be tested. Testing allows health care professionals to find diabetes sooner and work with their patients to manage diabetes and prevent complications.
"
704,"
Testing also allows health care professionals to find prediabetes. Making lifestyle changes to lose a modest amount of weight if you are overweight may help you delay or prevent type 2 diabetes.
"
705,"Most often, testing for type 1 diabetes occurs in people with diabetes symptoms. Doctors usually diagnose type 1 diabetes in children and young adults. Because type 1 diabetes can run in families, a study called TrialNet offers free testing to family members of people with the disease, even if they don’t have symptoms."
706,Experts recommend routine testing for type 2 diabetes if you
707,"
Medicare covers the cost of diabetes tests for people with certain risk factors for diabetes. If you have Medicare, find out if you qualify for coverage. If you have different insurance, ask your insurance company if it covers diabetes tests. "
708,"
Though type 2 diabetes most often develops in adults, children also can develop type 2 diabetes. Experts recommend testing children between the ages of 10 and 18 who are overweight or obese and have at least two other risk factors for developing diabetes.1"
709,"All pregnant women who do not have a prior diabetes diagnosis should be tested for gestational diabetes. If you are pregnant, you will take a glucose challenge test between 24 and 28 weeks of pregnancy.1
"
710,"Health care professionals most often use the fasting plasma glucose (FPG) test or the A1C test to diagnose diabetes. In some cases, they may use a random plasma glucose (RPG) test.
"
711,"The FPG blood test measures your blood glucose level at a single point in time. For the most reliable results, it is best to have this test in the morning, after you fast for at least 8 hours. Fasting means having nothing to eat or drink except sips of water."
712,"
The A1C test is a blood test that provides your average levels of blood glucose over the past 3 months. Other names for the A1C test are hemoglobin A1C, HbA1C, glycated hemoglobin, and glycosylated hemoglobin test. You can eat and drink before this test. When it comes to using the A1C to diagnose diabetes, your doctor will consider factors such as your age and whether you have anemia or another problem with your blood.1 The A1C test is not accurate in people with anemia.
"
713,"If you’re of African, Mediterranean, or Southeast Asian descent, your A1C test results may be falsely high or low. Your health care professional may need to order a different type of A1C test."
714,"Your health care professional will report your A1C test result as a percentage, such as an A1C of 7 percent. The higher the percentage, the higher your average blood glucose levels.
"
715,"People with diabetes also use information from the A1C test to help manage their diabetes.
"
716,"Sometimes health care professionals use the RPG test to diagnose diabetes when diabetes symptoms are present and they do not want to wait until you have fasted. You do not need to fast overnight for the RPG test. You may have this blood test at any time.
"
717,"Pregnant women may have the glucose challenge test, the oral glucose tolerance test, or both. These tests show how well your body handles glucose."
718,"
If you are pregnant and a health care professional is checking you for gestational diabetes, you may first receive the glucose challenge test. Another name for this test is the glucose screening test. In this test, a health care professional will draw your blood 1 hour after you drink a sweet liquid containing glucose. You do not need to fast for this test. If your blood glucose is too high—135 to 140 or more—you may need to return for an oral glucose tolerance test while fasting. "
719,"The OGTT measures blood glucose after you fast for at least 8 hours. First, a health care professional will draw your blood. Then you will drink the liquid containing glucose. For diagnosing gestational diabetes, you will need your blood drawn every hour for 2 to 3 hours.
"
720,"High blood glucose levels at any two or more blood test times during the OGTT—fasting, 1 hour, 2 hours, or 3 hours—mean you have gestational diabetes. Your health care team will explain what your OGTT results mean."
721,"
Health care professionals also can use the OGTT to diagnose type 2 diabetes and prediabetes in people who are not pregnant. The OGTT helps health care professionals detect type 2 diabetes and prediabetes better than the FPG test. However, the OGTT is a more expensive test and is not as easy to give. To diagnose type 2 diabetes and prediabetes, a health care professional will need to draw your blood 1 hour after you drink the liquid containing glucose and again after 2 hours."
722,"Each test to detect diabetes and prediabetes uses a different measurement. Usually, the same test method needs to be repeated on a second day to diagnose diabetes. Your doctor may also use a second test method to confirm that you have diabetes.
"
723,The following table helps you understand what your test numbers mean if you are not pregnant.
724,"aGlucose values are in milligrams per deciliter, or mg/dL."
